2024-04-13 07:33:44.092 INFO  (qtp1997548433-25-localhost-18) [c: s: r: x:lyrics-dev t:localhost-18] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712937791342} status=0 QTime=2
2024-04-13 07:33:45.303 INFO  (qtp1997548433-22-localhost-20) [c: s: r: x: t:localhost-20] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=6
2024-04-13 07:33:45.338 INFO  (qtp1997548433-21-localhost-21) [c: s: r: x: t:localhost-21] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=32
2024-04-13 07:33:45.341 INFO  (qtp1997548433-26-localhost-19) [c: s: r: x: t:localhost-19] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712937791291} status=0 QTime=44
2024-04-13 07:33:45.408 INFO  (qtp1997548433-26-localhost-24) [c: s: r: x: t:localhost-24] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:33:45.409 INFO  (qtp1997548433-17-localhost-22) [c: s: r: x: t:localhost-22] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712937791291} status=0 QTime=5
2024-04-13 07:33:45.466 INFO  (qtp1997548433-24-localhost-23) [c: s: r: x: t:localhost-23] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=60
2024-04-13 07:33:49.308 INFO  (qtp1997548433-21-localhost-25) [c: s: r: x:lyrics-dev t:localhost-25] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.lyrics-dev tag=null
2024-04-13 07:33:49.388 INFO  (qtp1997548433-21-localhost-25) [c: s: r: x:lyrics-dev t:localhost-25] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@7c87c1c9 lyrics-dev
2024-04-13 07:33:49.389 INFO  (qtp1997548433-21-localhost-25) [c: s: r: x:lyrics-dev t:localhost-25] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.lyrics-dev tag=SolrCore@7c87c1c9
2024-04-13 07:33:49.393 INFO  (qtp1997548433-21-localhost-25) [c: s: r: x:lyrics-dev t:localhost-25] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-04-13 07:33:49.411 INFO  (qtp1997548433-21-localhost-25) [c: s: r: x: t:localhost-25] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={core=lyrics-dev&action=UNLOAD&wt=json&_=1712937791291} status=0 QTime=108
2024-04-13 07:33:49.463 INFO  (qtp1997548433-22-localhost-26) [c: s: r: x: t:localhost-26] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=6
2024-04-13 07:33:49.466 INFO  (qtp1997548433-17-localhost-27) [c: s: r: x: t:localhost-27] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712937791291} status=0 QTime=5
2024-04-13 07:33:49.472 INFO  (qtp1997548433-21-localhost-28) [c: s: r: x: t:localhost-28] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:33:49.576 INFO  (qtp1997548433-22-localhost-31) [c: s: r: x: t:localhost-31] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:33:49.583 INFO  (qtp1997548433-26-localhost-29) [c: s: r: x: t:localhost-29] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712937791291} status=0 QTime=7
2024-04-13 07:33:49.591 INFO  (qtp1997548433-24-localhost-30) [c: s: r: x: t:localhost-30] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=14
2024-04-13 07:33:52.234 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x:lyrics-prod t:localhost-32] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-04-13 07:33:52.274 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x:lyrics-prod t:localhost-32] o.a.s.s.IndexSchema Schema name=default-config
2024-04-13 07:33:52.433 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x:lyrics-prod t:localhost-32] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-04-13 07:33:52.433 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x:lyrics-prod t:localhost-32] o.a.s.c.CoreContainer Reloading SolrCore 'lyrics-prod' using configuration from instancedir /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod
2024-04-13 07:33:52.564 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.c.SolrCore Opening new SolrCore at [/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod], dataDir=[/Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod/data/]
2024-04-13 07:33:52.773 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
