2024-04-10 07:40:49.917 INFO  (qtp1677458155-24-localhost-11) [c: s: r: x:techproducts t:localhost-11] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[VA902B (1795932657983422464)]} 0 4
2024-04-10 07:40:49.936 INFO  (qtp1677458155-21-localhost-12) [c: s: r: x:techproducts t:localhost-12] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[EN7800GTX/2DHTV/256M (1795932657997053952), 100-435805 (1795932658002296832)]} 0 12
2024-04-10 07:40:49.949 INFO  (qtp1677458155-24-localhost-13) [c: s: r: x:techproducts t:localhost-13] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[0579B002 (1795932658014879744)]} 0 5
2024-04-10 07:40:49.967 INFO  (qtp1677458155-21-localhost-14) [c: s: r: x:techproducts t:localhost-14] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[3007WFP (1795932658033754112)]} 0 7
2024-04-10 07:40:49.995 INFO  (qtp1677458155-24-localhost-15) [c: s: r: x:techproducts t:localhost-15] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[adata (1795932658050531328), apple (1795932658052628480), asus (1795932658053677056), ati (1795932658053677057), belkin (1795932658054725632), canon (1795932658055774208), corsair (1795932658061017088), dell (1795932658062065664), maxtor (1795932658063114240), samsung (1795932658066259968), ... (11 adds)]} 0 19
2024-04-10 07:40:50.015 INFO  (qtp1677458155-21-localhost-16) [c: s: r: x:techproducts t:localhost-16] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[SP2514N (1795932658080940032), 6H500F0 (1795932658085134336)]} 0 10
2024-04-10 07:40:50.030 INFO  (qtp1677458155-24-localhost-17) [c: s: r: x:techproducts t:localhost-17] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[USD (1795932658097717248), EUR (1795932658099814400), GBP (1795932658100862976), NOK (1795932658102960128)]} 0 8
2024-04-10 07:40:50.047 INFO  (qtp1677458155-21-localhost-18) [c: s: r: x:techproducts t:localhost-18] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[UTF8TEST (1795932658117640192)]} 0 8
2024-04-10 07:40:50.078 INFO  (qtp1677458155-24-localhost-19) [c: s: r: x:techproducts t:localhost-19] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[GB18030TEST (1795932658153291776)]} 0 23
2024-04-10 07:40:50.089 INFO  (qtp1677458155-21-localhost-20) [c: s: r: x:techproducts t:localhost-20] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={}{add=[SOLR1000 (1795932658163777536)]} 0 5
2024-04-10 07:40:50.446 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-21) [c: s: r: x:techproducts t:localhost-21] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-10 07:40:50.485 INFO  (searcherExecutor-13-thread-1-processing-techproducts localhost-21) [c: s: r: x:techproducts t:localhost-21] o.a.s.c.SolrCore Registered new searcher autowarm time: 9 ms
2024-04-10 07:40:50.497 INFO  (qtp1677458155-24-localhost-21) [c: s: r: x:techproducts t:localhost-21] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={commit=true}{commit=} 0 400
2024-04-10 07:40:51.071 INFO  (qtp1677458155-19-localhost-23) [c: s: r: x: t:localhost-23] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712734850915} status=0 QTime=0
2024-04-10 07:40:51.108 INFO  (qtp1677458155-23-localhost-24) [c: s: r: x: t:localhost-24] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734850916} status=0 QTime=36
2024-04-10 07:40:51.126 INFO  (qtp1677458155-24-localhost-25) [c: s: r: x: t:localhost-25] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734850916} status=0 QTime=6
2024-04-10 07:40:55.080 INFO  (qtp1677458155-24-localhost-28) [c: s: r: x: t:localhost-28] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712734850915} status=0 QTime=0
2024-04-10 07:40:55.081 INFO  (qtp1677458155-23-localhost-27) [c: s: r: x:techproducts t:localhost-27] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712734855032} status=0 QTime=5
2024-04-10 07:40:55.107 INFO  (qtp1677458155-19-localhost-26) [c: s: r: x: t:localhost-26] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734850916} status=0 QTime=31
2024-04-10 07:40:55.117 INFO  (qtp1677458155-24-localhost-29) [c: s: r: x:techproducts t:localhost-29] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1712734850916&ts=1712734850916} status=503 QTime=6
